fixture_id,match,date,league,prediction,confidence,expected_value,recommendation,stake_percentage,risk_level
19354711,Viking vs Rosenborg,2025-08-31,Eliteserien,A,0.5152590274810791,0.0,AVOID,0.0,High
19354712,Vålerenga vs Bryne,2025-08-31,Eliteserien,H,0.47304612398147583,0.0,AVOID,0.0,High
19347863,AIK vs Brommapojkarna,2025-09-13,Allsvenskan,A,0.6322494745254517,0.0,SMALL BET,1.0,Low
19347864,Djurgården vs Hammarby,2025-09-13,Allsvenskan,A,0.6782765984535217,0.0,SMALL BET,1.0,Low
19347865,Elfsborg vs Malmö FF,2025-09-13,Allsvenskan,A,0.6483199000358582,0.0,SMALL BET,1.0,Low
19347866,Häcken vs IFK Göteborg,2025-09-13,Allsvenskan,A,0.6863119006156921,0.0,SMALL BET,1.0,Low
19347867,Öster vs Värnamo,2025-09-13,Allsvenskan,A,0.6961455345153809,0.0,SMALL BET,1.0,Low
19347868,Sirius vs GAIS,2025-09-13,Allsvenskan,A,0.6325621604919434,0.0,SMALL BET,1.0,Low
19347869,Halmstad vs Norrköping,2025-09-13,Allsvenskan,A,0.8019372224807739,0.0,SMALL BET,1.0,Low
19347870,Degerfors vs Mjällby,2025-09-13,Allsvenskan,A,0.6094325184822083,0.0,SMALL BET,1.0,Low
19354713,Bodø / Glimt vs Kristiansund,2025-09-14,Eliteserien,A,0.47845885157585144,0.0,AVOID,0.0,High
19354714,Brann vs Vålerenga,2025-09-14,Eliteserien,A,0.7505767345428467,0.0,SMALL BET,1.0,Low
19354715,Bryne vs Tromsø,2025-09-14,Eliteserien,D,0.5122824907302856,0.0,AVOID,0.0,High
19354716,HamKam vs Strømsgodset,2025-09-14,Eliteserien,A,0.703607439994812,0.0,SMALL BET,1.0,Low
19354717,Haugesund vs Rosenborg,2025-09-14,Eliteserien,A,0.5491077303886414,0.0,AVOID,0.0,High
19354718,KFUM vs Viking,2025-09-14,Eliteserien,A,0.6235771179199219,0.0,SMALL BET,1.0,Low
19354719,Molde vs Fredrikstad,2025-09-14,Eliteserien,A,0.6571915149688721,0.0,SMALL BET,1.0,Low
19354720,Sarpsborg 08 vs Sandefjord,2025-09-14,Eliteserien,D,0.4667332172393799,0.0,AVOID,0.0,High
19347871,Hammarby vs Häcken,2025-09-20,Allsvenskan,A,0.6518299579620361,0.0,SMALL BET,1.0,Low
19347872,GAIS vs Elfsborg,2025-09-20,Allsvenskan,A,0.42891401052474976,0.0,AVOID,0.0,High
19347873,IFK Göteborg vs Brommapojkarna,2025-09-20,Allsvenskan,A,0.4900965988636017,0.0,AVOID,0.0,High
19347874,Malmö FF vs Djurgården,2025-09-20,Allsvenskan,D,0.508033037185669,0.0,AVOID,0.0,High
19347875,Mjällby vs Öster,2025-09-20,Allsvenskan,A,0.5777219533920288,0.0,AVOID,0.0,High
19347876,Norrköping vs AIK,2025-09-20,Allsvenskan,A,0.49506813287734985,0.0,AVOID,0.0,High
19347877,Sirius vs Degerfors,2025-09-20,Allsvenskan,A,0.6662576794624329,0.0,SMALL BET,1.0,Low
19347878,Värnamo vs Halmstad,2025-09-20,Allsvenskan,A,0.7360689640045166,0.0,SMALL BET,1.0,Low
19354721,Fredrikstad vs Bryne,2025-09-21,Eliteserien,A,0.6293672919273376,0.0,SMALL BET,1.0,Low
19354722,Kristiansund vs Haugesund,2025-09-21,Eliteserien,A,0.7020426988601685,0.0,SMALL BET,1.0,Low
